person,personLabel,university,universityLabel,birthplaceLabel,country,countryLabel,organisationLabel,yearfoundedLabel
http://www.wikidata.org/entity/Q2718078,Tage Lindbom,http://www.wikidata.org/entity/Q185246,Uppsala University,Malmö,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2843692,Nils Hylander,http://www.wikidata.org/entity/Q185246,Uppsala University,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6180686,Per Edvin Sköld,http://www.wikidata.org/entity/Q218506,Lund University,Q10684627,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2938924,Carl Gustaf Ekeberg,http://www.wikidata.org/entity/Q185246,Uppsala University,Danderyd  parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2500507,Jonas Carlsson Dryander,http://www.wikidata.org/entity/Q185246,Uppsala University,Gothenburg,http://www.wikidata.org/entity/Q174193,United Kingdom of Great Britain and Ireland,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2508533,Valentin Loienfels,http://www.wikidata.org/entity/Q185246,Uppsala University,Stralsund,http://www.wikidata.org/entity/Q183,Germany,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6190807,Andreas Stobæus,http://www.wikidata.org/entity/Q218506,Lund University,Q10680407,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q5034131,Canutus Hahn,http://www.wikidata.org/entity/Q185246,Uppsala University,Q10711150,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6150473,Wilhelm Lothigius,http://www.wikidata.org/entity/Q218506,Lund University,Jönköping,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6088577,Stig Sahlin,http://www.wikidata.org/entity/Q218506,Lund University,Västra Sallerups socken,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6197831,Mats Svegfors,http://www.wikidata.org/entity/Q218506,Lund University,Bredestad socken,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6175945,Fredrik Otto Silfverstolpe,http://www.wikidata.org/entity/Q218506,Lund University,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6190795,Lorentz Kristoffer Stobée,http://www.wikidata.org/entity/Q218506,Lund University,Lunds Cathedral Assembly,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2741798,Mari Jungstedt,http://www.wikidata.org/entity/Q185246,Uppsala University,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6181266,Jeremy Curl,http://www.wikidata.org/entity/Q218506,Lund University,Tokyo,http://www.wikidata.org/entity/Q27,Ireland,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6239878,Sven Wicksell,http://www.wikidata.org/entity/Q218506,Lund University,Hedvig Eleonora församling,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6255333,Assar Åkerman,http://www.wikidata.org/entity/Q218506,Lund University,Q10512384,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6227952,Carl Axel Trolle-Wachtmeister,http://www.wikidata.org/entity/Q218506,Lund University,Karlskrona,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q4993043,Oscar Patric Sturzen-Becker,http://www.wikidata.org/entity/Q185246,Uppsala University,Maria Magdalena parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6231432,Per Adam Wallmark,http://www.wikidata.org/entity/Q218506,Lund University,Källsjö parish,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6230912,Ivar Wallerius,http://www.wikidata.org/entity/Q218506,Lund University,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6208845,Arthur Thomson,http://www.wikidata.org/entity/Q218506,Lund University,Mönsterås,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2500507,Jonas Carlsson Dryander,http://www.wikidata.org/entity/Q185246,Uppsala University,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4991044,Brita Åkerman,http://www.wikidata.org/entity/Q185246,Uppsala University,Vårdinge church parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2653181,Adolf Noreen,http://www.wikidata.org/entity/Q185246,Uppsala University,Q10728500,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6255148,Dan Åkerhielm,http://www.wikidata.org/entity/Q218506,Lund University,Riseberga church parish,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q4992875,Karl Johan Warburg,http://www.wikidata.org/entity/Q185246,Uppsala University,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2913934,Gustaf Murray,http://www.wikidata.org/entity/Q185246,Uppsala University,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4990395,Karin Westman Berg,http://www.wikidata.org/entity/Q185246,Uppsala University,Uppsala Cathedral Assembly,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
